"gross_monthly_mean","university"
5173,"Nanyang Technological University"
4362,"Nanyang Technological University"
6578,"Nanyang Technological University"
4321,"Nanyang Technological University"
3654,"Nanyang Technological University"
3959,"Nanyang Technological University"
3664,"Nanyang Technological University"
4847,"Nanyang Technological University"
4924,"Nanyang Technological University"
4566,"Nanyang Technological University"
4069,"Nanyang Technological University"
3487,"Nanyang Technological University"
4325,"Nanyang Technological University"
3763,"Nanyang Technological University"
3801,"Nanyang Technological University"
4006,"Nanyang Technological University"
3182,"Nanyang Technological University"
3483,"Nanyang Technological University"
3548,"Nanyang Technological University"
3720,"Nanyang Technological University"
3354,"Nanyang Technological University"
3800,"Nanyang Technological University"
3822,"Nanyang Technological University"
3398,"Nanyang Technological University"
3502,"Nanyang Technological University"
3362,"Nanyang Technological University"
4105,"Nanyang Technological University"
3567,"Nanyang Technological University"
3569,"Nanyang Technological University"
3119,"Nanyang Technological University"
3501,"Nanyang Technological University"
3888,"Nanyang Technological University"
4039,"Nanyang Technological University"
3793,"Nanyang Technological University"
3438,"Nanyang Technological University"
3718,"Nanyang Technological University"
3796,"Nanyang Technological University"
5404,"Nanyang Technological University"
3600,"National University of Singapore"
3731,"National University of Singapore"
3850,"National University of Singapore"
4286,"National University of Singapore"
3732,"National University of Singapore"
4023,"National University of Singapore"
3897,"National University of Singapore"
4377,"National University of Singapore"
4399,"National University of Singapore"
3607,"National University of Singapore"
4417,"National University of Singapore"
4020,"National University of Singapore"
4115,"National University of Singapore"
5627,"National University of Singapore"
3627,"National University of Singapore"
3767,"National University of Singapore"
4677,"National University of Singapore"
3923,"National University of Singapore"
4981,"National University of Singapore"
5567,"National University of Singapore"
4950,"National University of Singapore"
3515,"National University of Singapore"
4194,"National University of Singapore"
6002,"National University of Singapore"
5095,"National University of Singapore"
5217,"National University of Singapore"
5603,"National University of Singapore"
4139,"National University of Singapore"
4178,"National University of Singapore"
3560,"National University of Singapore"
3863,"National University of Singapore"
3750,"National University of Singapore"
3203,"National University of Singapore"
4453,"National University of Singapore"
4952,"National University of Singapore"
5473,"National University of Singapore"
3658,"National University of Singapore"
3490,"Singapore Institute of Technology"
3125,"Singapore Institute of Technology"
4324,"Singapore Institute of Technology"
4984,"Singapore Institute of Technology"
3431,"Singapore Institute of Technology"
5251,"Singapore Institute of Technology"
5215,"Singapore Institute of Technology"
3394,"Singapore Institute of Technology"
3736,"Singapore Institute of Technology"
3773,"Singapore Institute of Technology"
3788,"Singapore Institute of Technology"
4146,"Singapore Institute of Technology"
3216,"Singapore Institute of Technology"
3880,"Singapore Institute of Technology"
3546,"Singapore Institute of Technology"
3328,"Singapore Institute of Technology"
4402,"Singapore Institute of Technology"
3322,"Singapore Institute of Technology"
3836,"Singapore Institute of Technology"
3691,"Singapore Institute of Technology"
3819,"Singapore Institute of Technology"
3787,"Singapore Institute of Technology"
3592,"Singapore Institute of Technology"
3575,"Singapore Institute of Technology"
3591,"Singapore Institute of Technology"
3719,"Singapore Institute of Technology"
3697,"Singapore Institute of Technology"
3645,"Singapore Institute of Technology"
3806,"Singapore Institute of Technology"
2817,"Singapore Institute of Technology"
2989,"Singapore Institute of Technology"
2807,"Singapore Institute of Technology"
4001,"Singapore Institute of Technology"
3814,"Singapore Management University"
4213,"Singapore Management University"
4371,"Singapore Management University"
4855,"Singapore Management University"
4777,"Singapore Management University"
5310,"Singapore Management University"
4906,"Singapore Management University"
5499,"Singapore Management University"
3836,"Singapore Management University"
4063,"Singapore Management University"
5433,"Singapore Management University"
5754,"Singapore Management University"
2963,"Singapore University of Social Sciences"
3412,"Singapore University of Social Sciences"
3461,"Singapore University of Social Sciences"
3231,"Singapore University of Social Sciences"
4372,"Singapore University of Social Sciences"
3862,"Singapore University of Social Sciences"
3411,"Singapore University of Social Sciences"
3381,"Singapore University of Social Sciences"
5030,"Singapore University of Technology and Design"
4141,"Singapore University of Technology and Design"
4778,"Singapore University of Technology and Design"
3842,"Singapore University of Technology and Design"
